,name,price_per_night,rating_overall,rating_cleanliness,rating_accuracy,rating_communication,rating_location,rating_check_in,rating_value,num_listing_reviews,num_host_ratings,host_response_rate,host_joined_months_ago,num_guests,num_bedrooms,num_beds,num_baths,superhost,borough,property_type,wifi,air_conditioning,heating,kitchen
567,Cozy Brooklyn Oasis 2,104,4.75,4.8,4.9,4.9,4.7,4.9,4.8,158,379,100,50,5,2,3,1.0,1,brooklyn,townhouse,1,1,1,1
568,Spacious Chique Brooklyn Gem,200,4.55,4.3,4.7,4.9,4.7,4.9,4.6,185,199,100,84,4,1,2,1.0,0,brooklyn,apartment,1,1,1,1
569,4A Private Room in Sunset Park,62,4.81,4.9,4.7,4.9,4.8,4.8,4.9,43,249,98,13,2,1,1,1.0,1,brooklyn,private room,1,1,1,1
570,3B Sunset Park Private Room & Bathroom,68,4.89,4.9,4.8,5.0,4.9,4.8,4.8,27,249,98,13,2,1,1,1.0,1,brooklyn,private room,1,1,1,1
571,Newly renovated luxury apartment,250,4.9,4.9,4.9,4.9,4.5,4.9,4.9,209,209,100,74,5,2,3,1.0,1,brooklyn,apartment,1,1,1,1
572,Brooklyn get away,135,4.5,4.7,4.6,4.9,4.8,5.0,4.5,10,10,70,5,4,2,2,2.0,0,brooklyn,apartment,1,1,1,1
573,Renovated Cozy room  for 2 or solo traveler,54,4.7,4.7,4.8,4.9,4.7,4.9,4.8,192,574,100,92,2,1,1,1.0,1,brooklyn,private room,1,1,1,0
574,HUGE Eclectic Vintage Escape - HOT LOCATION,195,5.0,5.0,5.0,5.0,5.0,5.0,4.8,6,6,100,76,4,2,2,1.0,0,brooklyn,apartment,1,1,1,1
575,Queen Bed With Private Bath Chinatown NYC,116,4.89,5.0,4.9,5.0,5.0,4.9,4.8,9,387,98,75,2,1,1,1.0,0,brooklyn,private room,1,1,1,0
576,2BR Apt. w/ Outdoor HOT TUB in Trendy Bushwick,649,4.99,5.0,5.0,5.0,4.8,5.0,4.9,120,126,100,93,4,2,3,1.0,1,brooklyn,private room,1,1,1,1
577,Comfortable bedroom with private bathroom,95,4.76,5.0,4.9,4.9,4.8,4.8,4.8,37,293,99,66,2,1,1,1.0,1,brooklyn,private room,1,1,1,1
578,Modern 2 Bedroom Walk in. 3 min from Subway !,143,4.77,4.8,4.8,4.9,4.7,4.9,4.8,130,130,100,94,4,2,3,1.0,0,brooklyn,apartment,1,1,1,1
579,Stylish Cobble Hill Garden Apartment,190,5.0,5.0,5.0,5.0,5.0,4.8,4.8,6,6,100,109,4,1,2,1.0,0,brooklyn,apartment,1,1,1,1
580,Billie's Hideaway@The Carriage House on Dean,77,4.97,4.8,5.0,5.0,4.9,5.0,5.0,32,190,99,61,2,1,1,2.0,1,brooklyn,private room,1,1,1,0
581,Brick house floor in Brooklyn,115,4.88,4.9,5.0,5.0,4.9,5.0,4.8,76,76,100,66,3,1,2,1.0,1,brooklyn,private room,1,1,1,1
